0,1,2,3,4,5,6,7,8,9,10
049,PRISONS,292,PRISONS,1451,PRISONS,106,KISII MAIN,049292145110601,KISII MAIN,92
049,PRISONS,292,PRISONS,1451,PRISONS,107,KISII WOMEN,049292145110701,KISII WOMEN,9
049,PRISONS,292,PRISONS,1451,PRISONS,109,NAIROBI WEST,049292145110901,NAIROBI WEST,91
049,PRISONS,292,PRISONS,1451,PRISONS,110,LANGATA WOMEN PRISON,049292145111001,LANGATA WOMEN PRISON,130
049,PRISONS,292,PRISONS,1451,PRISONS,112,KAMITI MEDIUM PRISON,049292145111201,KAMITI MEDIUM PRISON,215
049,PRISONS,292,PRISONS,1451,PRISONS,113,KAMITI MAIN PRISON,049292145111301,KAMITI MAIN PRISON,362
049,PRISONS,292,PRISONS,1451,PRISONS,113,KAMITI MAIN PRISON,049292145111302,KAMITI MAIN PRISON,362
049,PRISONS,292,PRISONS,1451,PRISONS,116,NAIROBI REMAND/ALLOCATION,049292145111601,NAIROBI REMAND/ALLOCATION,81
049,PRISONS,292,PRISONS,1451,PRISONS,118,KILGORIS PRISON,049292145111801,KILGORIS PRISON,12
049,PRISONS,292,PRISONS,1451,PRISONS,119,LOITOKITOK GK PRISON,049292145111901,LOITOKITOK GK PRISON,3
049,PRISONS,292,PRISONS,1451,PRISONS,121,LODWAR GK PRISON,049292145112101,LODWAR GK PRISON,26
,Total,,,,,,,,,"7,483"
